               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.015297,           0.0028309,           0.0025941,             0.91514,             0.79435,             0.88364,             0.50578,            0.038395,            0.013229,           0.0070124,             0.00307,             0.00307,             0.00307
                  37,            0.014097,           0.0026924,           0.0024839,             0.87537,             0.82829,             0.88369,             0.50832,             0.03763,            0.013336,           0.0067473,            0.002872,            0.002872,            0.002872
                  38,            0.013177,           0.0026069,            0.002329,             0.92764,              0.7972,             0.88851,             0.50453,            0.037412,            0.013455,           0.0066474,            0.002674,            0.002674,            0.002674
                  39,            0.012276,            0.002575,           0.0022651,             0.91391,             0.81076,             0.89019,             0.51321,            0.038038,            0.013399,           0.0065471,            0.002476,            0.002476,            0.002476
                  40,             0.01153,           0.0025017,           0.0021584,             0.93983,             0.80006,             0.89104,             0.50208,            0.037583,            0.013417,           0.0063852,            0.002278,            0.002278,            0.002278
                  41,            0.010827,           0.0024385,           0.0020941,             0.93442,             0.81678,             0.89364,             0.51188,            0.037328,            0.013412,           0.0063455,             0.00208,             0.00208,             0.00208
                  42,            0.010319,           0.0023673,           0.0019936,             0.93474,             0.80482,             0.88862,             0.50046,            0.037245,            0.013511,            0.006377,            0.001882,            0.001882,            0.001882
                  43,             0.01003,           0.0023509,           0.0019533,             0.93427,             0.79797,              0.8903,              0.5109,            0.037037,            0.013619,           0.0063272,            0.001684,            0.001684,            0.001684
                  44,           0.0090354,           0.0022344,           0.0018465,             0.93288,             0.80981,             0.88714,             0.50636,            0.036983,            0.013734,           0.0062072,            0.001486,            0.001486,            0.001486
                  45,           0.0083471,           0.0021577,            0.001761,             0.93136,             0.81013,             0.88731,             0.51042,            0.036784,            0.013676,            0.005992,            0.001288,            0.001288,            0.001288
                  46,           0.0078776,           0.0021474,           0.0017123,             0.92946,             0.80863,             0.88715,             0.51198,            0.036589,            0.013817,           0.0059334,             0.00109,             0.00109,             0.00109
                  47,           0.0074403,           0.0020523,           0.0016491,             0.93229,                0.81,             0.89128,             0.51669,            0.036891,            0.013851,           0.0059157,            0.000892,            0.000892,            0.000892
                  48,           0.0067691,           0.0019793,           0.0015652,             0.93363,             0.80852,             0.88684,              0.5158,            0.036643,            0.013885,           0.0058574,            0.000694,            0.000694,            0.000694
                  49,           0.0062672,           0.0019432,           0.0015524,             0.93388,             0.81241,             0.88564,             0.51955,            0.036609,            0.013971,           0.0058622,            0.000496,            0.000496,            0.000496
